timestamp,open,high,low,close,volume,Stock Code,{
2008-11-28,15.99,17.81,10.65,12.28,53000.0,JHX,
2008-10-31,20.87,22.53,12.9,14.472,84600.0,JHX,
2008-09-30,20.69,24.25,18.57,20.87,87300.0,JHX,
2008-08-29,22.15,22.18,18.94,19.8,87700.0,JHX,
2008-07-31,20.0,23.75,18.1,21.92,107000.0,JHX,
2008-06-30,26.4,26.49,20.15,20.15,81200.0,JHX,
2008-05-30,27.5,29.18,25.9001,26.2,55800.0,JHX,
2008-04-30,29.445,31.55,27.5,28.0,67800.0,JHX,
2008-03-31,26.8,29.31,25.0,28.81,65800.0,JHX,
2008-02-29,29.95,30.57,26.56,27.54,59200.0,JHX,
2008-01-31,28.44,28.73,23.0,28.23,107200.0,JHX,
2007-12-31,27.56,29.54,26.6,28.16,55400.0,JHX,
2007-11-30,30.15,30.15,25.18,27.9,89700.0,JHX,
2007-10-31,32.23,34.34,29.94,30.47,87400.0,JHX,
2007-09-28,32.81,33.42,30.47,31.6,26100.0,JHX,
2007-08-31,31.0,34.12,27.8,33.43,67900.0,JHX,
2007-07-31,37.52,39.6,31.9,31.97,159900.0,JHX,
2007-06-29,38.69,40.5,35.9,36.81,56700.0,JHX,
2007-05-31,36.43,39.25,35.5,38.48,73800.0,JHX,
2007-04-30,33.52,39.14,33.3,36.83,57500.0,JHX,
2007-03-30,36.87,36.94,32.7,33.78,58600.0,JHX,
2007-02-28,36.67,40.19,36.6,37.56,51800.0,JHX,
2007-01-31,38.3,39.0,35.97,36.9,42300.0,JHX,
2006-12-29,32.9,37.88,32.35,37.76,57500.0,JHX,
2006-11-30,31.15,33.7,30.2301,33.25,64600.0,JHX,
2006-10-31,28.21,31.0,26.98,30.51,76400.0,JHX,
2006-09-29,25.72,27.97,24.2,27.84,119500.0,JHX,
2006-08-31,26.25,26.73,24.75,25.61,101000.0,JHX,
2006-07-31,28.5,28.85,25.4,26.75,86996.0,JHX,
2006-06-30,31.52,31.91,25.9,28.52,123800.0,JHX,
2006-05-31,36.0,36.74,31.3,32.2,49200.0,JHX,
2006-04-28,33.7,36.8,33.45,35.77,45100.0,JHX,
2006-03-31,33.26,35.59,32.5,34.0,62000.0,JHX,
2006-02-28,33.55,33.6,30.511,33.25,31100.0,JHX,
2006-01-31,32.61,34.0,32.2,33.41,40700.0,JHX,
2005-12-30,32.85,33.79,31.7,32.47,46300.0,JHX,
2005-11-30,31.81,32.75,29.85,31.15,63600.0,JHX,
2005-10-31,34.0,34.8,29.6,32.2,78700.0,JHX,
2005-09-30,34.45,36.36,33.95,34.33,102900.0,JHX,
2005-08-31,33.39,35.7,30.9,33.13,53600.0,JHX,
2005-07-29,28.7,34.5,27.7,33.35,45500.0,JHX,
2005-06-30,25.75,30.0,25.75,29.1,64500.0,JHX,
